t,original,good_recon,bad_recon
0.675,0.707107,0.726009,1.21188
0.676,0.62188,0.637617,1.18877
0.677,0.536967,0.54914,1.16297
0.678,0.453362,0.461661,1.13451
0.679,0.37203,0.376238,1.10343
0.68,0.293893,0.293893,1.06978
0.681,0.21981,0.215589,1.03362
0.682,0.15057,0.142218,0.995005
0.683,0.0868775,0.0745878,0.95402
0.684,0.0293401,0.0134028,0.910743
0.685,-0.0215378,-0.0407418,0.865264
0.686,-0.0653643,-0.0873724,0.81768
0.687,-0.101865,-0.126144,0.768096
0.688,-0.130889,-0.156847,0.716624
0.689,-0.152406,-0.179409,0.663381
0.69,-0.166511,-0.193898,0.608493
0.691,-0.173422,-0.200518,0.55209
0.692,-0.173474,-0.199609,0.494306
0.693,-0.167113,-0.191641,0.435283
0.694,-0.154892,-0.177201,0.375165
0.695,-0.137458,-0.156991,0.314101
0.696,-0.115544,-0.131809,0.252243
0.697,-0.089954,-0.102539,0.189746
0.698,-0.0615544,-0.0701363,0.126767
0.699,-0.0312559,-0.0356081,0.0634649
0.7,1.69063e-14,1.81631e-14,-3.61846e-14
0.701,0.0312559,0.0356239,-0.0634671
0.702,0.0615544,0.0701989,-0.126776
0.703,0.089954,0.102677,-0.189765
0.704,0.115544,0.132047,-0.252277
0.705,0.137458,0.15735,-0.314154
0.706,0.154892,0.177693,-0.37524
0.707,0.167113,0.192273,-0.435383
0.708,0.173474,0.200381,-0.494433
0.709,0.173422,0.201419,-0.552246
0.71,0.166511,0.194912,-0.608681
0.711,0.152406,0.180512,-0.663601
0.712,0.130889,0.158006,-0.716876
0.713,0.101865,0.12732,-0.76838
0.714,0.0653643,0.0885228,-0.817995
0.715,0.0215378,0.0418195,-0.865609
0.716,-0.0293401,-0.0124468,-0.911115
0.717,-0.0868775,-0.073803,-0.954416
0.718,-0.15057,-0.141653,-0.995421
0.719,-0.21981,-0.215286,-1.03405
0.72,-0.293893,-0.293893,-1.07022
0.721,-0.37203,-0.376573,-1.10388
0.722,-0.453362,-0.462354,-1.13496
0.723,-0.536967,-0.550205,-1.16341
0.724,-0.62188,-0.639057,-1.1892
0.725,-0.707107,-0.727814,-1.21229
0.726,-0.791635,-0.815378,-1.23267
0.727,-0.874456,-0.900661,-1.25031
0.728,-0.954576,-0.982608,-1.26521
0.729,-1.03103,-1.06021,-1.27738
0.73,-1.10291,-1.13251,-1.28683
0.731,-1.16935,-1.19866,-1.29359
0.732,-1.22958,-1.25787,-1.29767
0.733,-1.28291,-1.30946,-1.29913
0.734,-1.32872,-1.35289,-1.298
0.735,-1.36653,-1.38771,-1.29434
0.736,-1.39597,-1.41361,-1.28822
0.737,-1.41677,-1.43042,-1.27969
0.738,-1.42879,-1.43811,-1.26884
0.739,-1.43202,-1.43675,-1.25575
0.74,-1.42658,-1.42658,-1.24051
0.741,-1.41271,-1.40796,-1.2232
0.742,-1.39075,-1.38134,-1.20393
0.743,-1.36117,-1.34732,-1.18279
0.744,-1.32456,-1.30659,-1.15991
0.745,-1.28158,-1.2599,-1.13539
0.746,-1.23299,-1.20813,-1.10934
0.747,-1.17962,-1.15218,-1.08188
0.748,-1.12237,-1.093,-1.05314
0.749,-1.06217,-1.0316,-1.02323
0.75,-1,-0.968963,-0.992274
0.751,-0.93684,-0.906108,-0.960402
0.752,-0.873682,-0.844014,-0.927737
0.753,-0.8115,-0.783634,-0.894402
0.754,-0.751238,-0.725872,-0.860521
0.755,-0.693796,-0.671567,-0.826217
0.756,-0.640014,-0.621488,-0.791612
0.757,-0.59066,-0.576314,-0.756824
0.758,-0.546419,-0.536628,-0.72197
0.759,-0.50788,-0.502911,-0.687164
0.76,-0.475528,-0.475528,-0.652517
0.761,-0.449737,-0.454734,-0.618135
0.762,-0.430763,-0.44066,-0.584121
0.763,-0.418741,-0.43332,-0.550573
0.764,-0.413683,-0.432611,-0.517585
0.765,-0.415478,-0.438311,-0.485246
0.766,-0.423893,-0.450089,-0.453639
0.767,-0.438578,-0.467509,-0.422841
0.768,-0.459071,-0.49004,-0.392925
0.769,-0.484807,-0.517059,-0.363955
0.77,-0.515124,-0.547872,-0.335992
0.771,-0.549278,-0.581715,-0.309089
0.772,-0.586451,-0.617775,-0.283292
0.773,-0.625766,-0.655198,-0.258642
0.774,-0.666302,-0.693104,-0.235171
0.775,-0.707107,-0.730601,-0.212908
0.776,-0.747214,-0.766802,-0.191872
0.777,-0.785657,-0.800831,-0.172075
0.778,-0.821486,-0.831846,-0.153526
0.779,-0.853784,-0.859044,-0.136224
0.78,-0.881678,-0.881678,-0.120162
0.781,-0.904357,-0.899065,-0.105329
0.782,-0.921083,-0.910597,-0.0917039
0.783,-0.931205,-0.915751,-0.0792629
0.784,-0.934167,-0.914096,-0.0679748
0.785,-0.929519,-0.905297,-0.0578027
0.786,-0.916923,-0.889123,-0.0487048
0.787,-0.896161,-0.865447,-0.0406335
0.788,-0.867138,-0.834248,-0.0335367
0.789,-0.829882,-0.795615,-0.0273575
0.79,-0.784545,-0.749739,-0.0220346
0.791,-0.731405,-0.696915,-0.0175028
0.792,-0.670854,-0.637534,-0.0136931
0.793,-0.6034,-0.57208,-0.0105333
0.794,-0.529655,-0.501123,-0.00794791
0.795,-0.450327,-0.425305,-0.00585914
0.796,-0.36621,-0.345341,-0.00418677
0.797,-0.278171,-0.261997,-0.00284873
0.798,-0.187135,-0.176089,-0.00176147
0.799,-0.0940774,-0.088466,-0.00084035
0.8,5.03516e-14,4.85353e-14,-1.27902e-14
0.801,0.0940774,0.0884269,0.00084524
0.802,0.187135,0.175934,0.00178095
0.803,0.278171,0.261657,0.00289223
0.804,0.36621,0.344753,0.0042633
0.805,0.450327,0.424422,0.00597714
0.806,0.529655,0.499909,0.00811505
0.807,0.6034,0.570521,0.0107564
0.808,0.670854,0.635631,0.013978
0.809,0.731405,0.694691,0.017854
0.81,0.784545,0.747236,0.0224556
0.811,0.829882,0.792894,0.0278503
0.812,0.867138,0.831389,0.0341021
0.813,0.896161,0.862543,0.0412706
0.814,0.916923,0.886282,0.0494113
0.815,0.929519,0.902635,0.058575
0.816,0.934167,0.911734,0.0688075
0.817,0.931205,0.913811,0.0801494
0.818,0.921083,0.909198,0.092636
0.819,0.904357,0.898316,0.106297
0.82,0.881678,0.881678,0.121156
0.821,0.853784,0.859873,0.137231
0.822,0.821486,0.833562,0.154535
0.823,0.785657,0.80347,0.173071
0.824,0.747214,0.77037,0.19284
0.825,0.707107,0.735078,0.213835
0.826,0.666302,0.698437,0.236041
0.827,0.625766,0.661305,0.259438
0.828,0.586451,0.624543,0.284
0.829,0.549278,0.589004,0.309694
0.83,0.515124,0.555516,0.33648
0.831,0.484807,0.524872,0.364311
0.832,0.459071,0.497817,0.393136
0.833,0.438578,0.475034,0.422896
0.834,0.423893,0.457139,0.453526
0.835,0.415478,0.444664,0.484957
0.836,0.413683,0.438052,0.517112
0.837,0.418741,0.437646,0.549909
0.838,0.430763,0.443689,0.583263
0.839,0.449737,0.45631,0.617082
0.84,0.475528,0.475528,0.651268
0.841,0.50788,0.501247,0.685723
0.842,0.546419,0.533255,0.720341
0.843,0.59066,0.571231,0.755013
0.844,0.640014,0.61474,0.78963
0.845,0.693796,0.663248,0.824076
0.846,0.751238,0.716121,0.858234
0.847,0.8115,0.772639,0.891985
0.848,0.873682,0.832002,0.925209
0.849,0.93684,0.893344,0.957783
0.85,1,0.955746,0.989586
0.851,1.06217,1.01825,1.02049
0.852,1.12237,1.07987,1.05038
0.853,1.17962,1.1396,1.07913
0.854,1.23299,1.19647,1.10662
0.855,1.28158,1.2495,1.13274
0.856,1.32456,1.29775,1.15735
0.857,1.36117,1.34036,1.18035
0.858,1.39075,1.37651,1.20163
0.859,1.41271,1.40546,1.22107
0.86,1.42658,1.42658,1.23858
0.861,1.43202,1.43935,1.25406
0.862,1.42879,1.44333,1.2674
0.863,1.41677,1.43825,1.27852
0.864,1.39597,1.42394,1.28734
0.865,1.36653,1.40036,1.29379
0.866,1.32872,1.36764,1.29777
0.867,1.28291,1.326,1.29925
0.868,1.22958,1.27585,1.29814
0.869,1.16935,1.21767,1.29442
0.87,1.10291,1.15211,1.28803
0.871,1.03103,1.0799,1.27895
0.872,0.954576,1.00191,1.26714
0.873,0.874456,0.919058,1.2526
0.874,0.791635,0.832372,1.2353
0.875,0.707107,0.742923,1.21527
0.876,0.62188,0.651832,1.19249
0.877,0.536967,0.56024,1.167
0.878,0.453362,0.4693,1.13881
0.879,0.37203,0.380148,1.10798
0.88,0.293893,0.293893,1.07453
0.881,0.21981,0.211591,1.03853
0.882,0.15057,0.134232,1.00005
0.883,0.0868775,0.0627218,0.959143
0.884,0.0293401,-0.00213478,0.915902
0.885,-0.0215378,-0.0596468,0.870413
0.886,-0.0653643,-0.10925,0.822773
0.887,-0.101865,-0.150516,0.773086
0.888,-0.130889,-0.183163,0.721463
0.889,-0.152406,-0.207056,0.668025
0.89,-0.166511,-0.222216,0.612895
0.891,-0.173422,-0.228816,0.556206
0.892,-0.173474,-0.22718,0.498095
0.893,-0.167113,-0.217777,0.438704
0.894,-0.154892,-0.201215,0.378182
0.895,-0.137458,-0.178232,0.316679
0.896,-0.115544,-0.149678,0.254351
0.897,-0.089954,-0.116508,0.191357
0.898,-0.0615544,-0.0797598,0.127858
0.899,-0.0312559,-0.0405395,0.0640178
0.9,2.02141e-14,2.16467e-14,-5.39597e-14
0.901,0.0312559,0.0406777,-0.0640295
0.902,0.0615544,0.0803062,-0.127905
0.903,0.089954,0.117712,-0.191461
0.904,0.115544,0.151758,-0.254534
0.905,0.137458,0.181361,-0.31696
0.906,0.154892,0.205516,-0.37858
0.907,0.167113,0.223307,-0.439236
0.908,0.173474,0.233933,-0.498773
0.909,0.173422,0.236715,-0.557042
0.91,0.166511,0.231114,-0.613897
0.911,0.152406,0.216737,-0.669198
0.912,0.130889,0.193348,-0.722809
0.913,0.101865,0.160871,-0.774601
0.914,0.0653643,0.119393,-0.824452
0.915,0.0215378,0.0691646,-0.872248
0.916,-0.0293401,0.0105918,-0.917879
0.917,-0.0868775,-0.0557658,-0.961246
0.918,-0.15057,-0.129207,-1.00226
0.919,-0.21981,-0.208899,-1.04083
0.92,-0.293893,-0.293893,-1.07688
0.921,-0.37203,-0.38314,-1.11036
0.922,-0.453362,-0.47551,-1.14119
0.923,-0.536967,-0.569808,-1.16935
0.924,-0.62188,-0.6648,-1.19477
0.925,-0.707107,-0.759231,-1.21745
0.926,-0.791635,-0.851845,-1.23735
0.927,-0.874456,-0.941413,-1.25447
0.928,-0.954576,-1.02675,-1.26881
0.929,-1.03103,-1.10673,-1.28037
0.93,-1.10291,-1.18032,-1.28918
0.931,-1.16935,-1.24659,-1.29525
0.932,-1.22958,-1.30473,-1.29864
0.933,-1.28291,-1.35404,-1.29937
0.934,-1.32872,-1.39399,-1.29751
0.935,-1.36653,-1.42419,-1.29311
0.936,-1.39597,-1.44442,-1.28625
0.937,-1.41677,-1.4546,-1.27699
0.938,-1.42879,-1.45482,-1.26543
0.939,-1.43202,-1.44535,-1.25164
0.94,-1.42658,-1.42658,-1.23572
0.941,-1.41271,-1.39907,-1.21778
0.942,-1.39075,-1.3635,-1.19792
0.943,-1.36117,-1.32067,-1.17624
0.944,-1.32456,-1.27149,-1.15287
0.945,-1.28158,-1.21696,-1.12791
0.946,-1.23299,-1.15815,-1.10149
0.947,-1.17962,-1.09617,-1.07374
0.948,-1.12237,-1.03216,-1.04476
0.949,-1.06217,-0.967288,-1.01469
0.95,-1,-0.90268,-0.983662
0.951,-0.93684,-0.839447,-0.95179
0.952,-0.873682,-0.778642,-0.919203
0.953,-0.8115,-0.721248,-0.886027
0.954,-0.751238,-0.668158,-0.852383
0.955,-0.693796,-0.620161,-0.818394
0.956,-0.640014,-0.577932,-0.784177
0.957,-0.59066,-0.542015,-0.749849
0.958,-0.546419,-0.51282,-0.715522
0.959,-0.50788,-0.490617,-0.681306
0.96,-0.475528,-0.475528,-0.647304
0.961,-0.449737,-0.467535,-0.613618
0.962,-0.430763,-0.466473,-0.580343
0.963,-0.418741,-0.472045,-0.54757
0.964,-0.413683,-0.483821,-0.515384
0.965,-0.415478,-0.501254,-0.483865
0.966,-0.423893,-0.52369,-0.453086
0.967,-0.438578,-0.550382,-0.423117
0.968,-0.459071,-0.580504,-0.394019
0.969,-0.484807,-0.613173,-0.365848
0.97,-0.515124,-0.647462,-0.338654
0.971,-0.549278,-0.68242,-0.312481
0.972,-0.586451,-0.717091,-0.287366
0.973,-0.625766,-0.750532,-0.263341
0.974,-0.666302,-0.781833,-0.240429
0.975,-0.707107,-0.81013,-0.218652
0.976,-0.747214,-0.834627,-0.198021
0.977,-0.785657,-0.854603,-0.178544
0.978,-0.821486,-0.869434,-0.160223
0.979,-0.853784,-0.878596,-0.143055
0.98,-0.881678,-0.881678,-0.127031
0.981,-0.904357,-0.878387,-0.112136
0.982,-0.921083,-0.868552,-0.0983535
0.983,-0.931205,-0.852129,-0.0856603
0.984,-0.934167,-0.829196,-0.0740298
0.985,-0.929519,-0.799951,-0.0634315
0.986,-0.916923,-0.764709,-0.0538315
0.987,-0.896161,-0.723893,-0.045193
0.988,-0.867138,-0.678023,-0.0374762
0.989,-0.829882,-0.627707,-0.0306389
0.99,-0.784545,-0.573629,-0.0246368
0.991,-0.731405,-0.516533,-0.019424
0.992,-0.670854,-0.457208,-0.014953
0.993,-0.6034,-0.396475,-0.0111755
0.994,-0.529655,-0.335168,-0.00804207
0.995,-0.450327,-0.274122,-0.00550321
0.996,-0.36621,-0.214154,-0.00350917
0.997,-0.278171,-0.156048,-0.00201044
0.998,-0.187135,-0.100545,-0.000957993
0.999,-0.0940774,-0.048325,-0.000303583
